Pregunta,Asignatura,Tema,Tema_nombre,Respuesta_correcta
P54,Formación cívica y ética,4.10,"PENDIENTE — reemplazar duplicado",A
P55,Formación cívica y ética,4.11,"Derechos — libertad de expresión",B
P56,Formación cívica y ética,4.12,"PENDIENTE — reemplazar duplicado",A
P57,Español,5.1,"Tipos de fichas — bibliográfica",C
P58,Español,5.2,"Funciones de la lengua — referencial",C
P59,Español,5.3,"Recursos de información — cita y paráfrasis",D
P60,Español,5.4,"PENDIENTE — reemplazar duplicado",A
P61,Español,5.5,"Tipos de texto — narración",D
P62,Español,5.6,"PENDIENTE — reemplazar duplicado",A
P63,Español,5.7,"Nexos — condicional",B
P64,Español,5.8,"Signos de puntuación — puntos suspensivos",B
P65,Español,5.9,"Oraciones — sucesión y simultaneidad",B
P66,Español,5.10,"Ordenamiento de párrafos",A
P67,Español,5.11,"Clasificación de palabras — adjetivos",D
P68,Español,5.12,"Adverbios — completar texto",A
P69,Ciencias II (Física),6.1,"MRU — tabla distancia/tiempo",B
P70,Ciencias II (Física),6.2,"MRU — velocidad",B
P71,Ciencias II (Física),6.3,"PENDIENTE — reemplazar duplicado",A
P72,Ciencias II (Física),6.4,"PENDIENTE — reemplazar duplicado",A
P73,Ciencias II (Física),6.5,"Presión hidrostática",C
P74,Ciencias II (Física),6.6,"Partículas subatómicas — carga eléctrica",B
P75,Ciencias II (Física),6.7,"Aceleración — gráfica v vs t",B
P76,Ciencias II (Física),6.8,"PENDIENTE — reemplazar duplicado",A
P77,Ciencias II (Física),6.9,"Gases — expansión por temperatura",C
P78,Ciencias II (Física),6.10,"Principio de Pascal — prensa hidráulica",A
P79,Ciencias II (Física),6.11,"Conductores eléctricos — distribución electrónica",D
P80,Ciencias II (Física),6.12,"PENDIENTE — reemplazar duplicado",A
P81,Geografía,7.1,"PENDIENTE — reemplazar duplicado",A
P82,Geografía,7.2,"PENDIENTE — reemplazar duplicado",A
P83,Geografía,7.3,"PENDIENTE — reemplazar duplicado",A
P84,Geografía,7.4,"PENDIENTE — reemplazar duplicado",A
P85,Geografía,7.5,"PENDIENTE — reemplazar duplicado",A
P86,Geografía,7.6,"PENDIENTE — reemplazar duplicado",A
P87,Geografía,7.7,"PENDIENTE — reemplazar duplicado",A
P88,Geografía,7.8,"PENDIENTE — reemplazar duplicado",A
P89,Geografía,7.9,"PENDIENTE — reemplazar duplicado",A
P90,Geografía,7.10,"PENDIENTE — reemplazar duplicado",A
P91,Geografía,7.11,"PENDIENTE — reemplazar duplicado",A
P92,Geografía,7.12,"PENDIENTE — reemplazar duplicado",A
P93,Historia Universal y de México,8.1,"Revolución Francesa — Declaración de Derechos",C
P94,Historia Universal y de México,8.2,"PENDIENTE — reemplazar duplicado",A
P95,Historia Universal y de México,8.3,"PENDIENTE — reemplazar duplicado",A
P96,Historia Universal y de México,8.4,"Tratado de Versalles 1919",A
P97,Historia Universal y de México,8.5,"PENDIENTE — reemplazar duplicado",A
P98,Historia Universal y de México,8.6,"PENDIENTE — reemplazar duplicado",A
P99,Historia Universal y de México,8.7,"Conquista de América — alianzas",A
P100,Historia Universal y de México,8.8,"PENDIENTE — reemplazar duplicado",A
P101,Historia Universal y de México,8.9,"PENDIENTE — reemplazar duplicado",A
P102,Historia Universal y de México,8.10,"PENDIENTE — reemplazar duplicado",A
P103,Historia Universal y de México,8.11,"Arte y cultura mexicana — dato incorrecto",C
P104,Historia Universal y de México,8.12,"Presidentes tecnócratas — Miguel de la Madrid",B
P105,Matemáticas,9.1,"Notación científica — conversión de unidades",B
P106,Matemáticas,9.2,"Notación científica — distancia",A
P107,Matemáticas,9.3,"Áreas — triángulo dentro de cuadrado",D
P108,Matemáticas,9.4,"Álgebra — productos notables (binomio al cuadrado)",B
P109,Matemáticas,9.5,"Ecuaciones — problemas de edades",B
P110,Matemáticas,9.6,"Sistema de ecuaciones lineales — intersección",D
P111,Matemáticas,9.7,"Ecuación cuadrática — problemas de edades",C
P112,Matemáticas,9.8,"Factorización de trinomios cuadráticos",A
P113,Matemáticas,9.9,"Geometría — área de triángulo equilátero",C
P114,Matemáticas,9.10,"Diagrama de fases del CO₂",B
P115,Matemáticas,9.11,"Triángulos semejantes",A
P116,Matemáticas,9.12,"Estadística — gráfica de barras",A
P117,Ciencias III (Química),10.1,"Escala de pH — sustancias ácidas y alcalinas",C
P118,Ciencias III (Química),10.2,"Ley de la conservación de la materia",D
P119,Ciencias III (Química),10.3,"Compuestos químicos — formación",B
P120,Ciencias III (Química),10.4,"PENDIENTE — reemplazar duplicado",A
P121,Ciencias III (Química),10.5,"Ebullición del agua — formación de burbujas",A
P122,Ciencias III (Química),10.6,"Cambios químicos — vida cotidiana",B
P123,Ciencias III (Química),10.7,"Mezclas heterogéneas — separación física",C
P124,Ciencias III (Química),10.8,"PENDIENTE — reemplazar duplicado",A
P125,Ciencias III (Química),10.9,"PENDIENTE — reemplazar duplicado",A
P126,Ciencias III (Química),10.10,"Estructura atómica — neutrones",B
P127,Ciencias III (Química),10.11,"PENDIENTE — reemplazar duplicado",A
P128,Ciencias III (Química),10.12,"Métodos de separación de mezclas — tamizado",B
