Pregunta,Asignatura,Tema,Tema_nombre,Respuesta_correcta
P53,Habilidad matemática,6.1,"Sucesión aritmética — regla general",A
P54,Habilidad matemática,6.2,"Sucesión geométrica — cuarto término",A
P55,Habilidad matemática,6.3,"Sucesión por pares",D
P56,Habilidad matemática,6.4,"Combinaciones de 2 en 2",B
P57,Habilidad matemática,6.5,"Conteo de dígitos",A
P58,Habilidad matemática,6.6,"Comparación de razones",D
P59,Habilidad matemática,6.7,"Eliminación directa",B
P60,Habilidad matemática,6.8,"Llaves de llenado — gasto",A
P61,Habilidad matemática,6.9,"Fracciones de un total",C
P62,Habilidad matemática,6.10,"Sucesión por tres subsucesiones",D
P63,Habilidad matemática,6.11,"Rotación de figura 3D",B
P64,Habilidad matemática,6.11,"Series figurales",C
P65,Habilidad matemática,6.11,"Series — relojes",D
P66,Habilidad matemática,6.11,"Series — círculos",B
P67,Habilidad matemática,6.11,"Series — triángulos en rectángulo",C
P68,Habilidad matemática,6.12,"Volumen — pirámide y prisma",C
P69,Formación cívica y ética,7.1,"Tipos de discriminación",C
P70,Formación cívica y ética,7.2,"Derechos de los jóvenes",D
P71,Formación cívica y ética,7.3,"Falta de diálogo",B
P72,Formación cívica y ética,7.4,"Norma convencional",A
P73,Formación cívica y ética,7.5,"Principio democrático — mayoría",A
P74,Formación cívica y ética,7.6,"Soberanía popular — voto",D
P75,Formación cívica y ética,7.7,"Negociación — aspectos básicos",B
P76,Formación cívica y ética,7.8,"Identidad social",D
P77,Formación cívica y ética,7.9,"Soberanía nacional",C
P78,Formación cívica y ética,7.10,"Mesa directiva de casilla",A
P79,Formación cívica y ética,7.11,"Responsabilidad ética patronal",D
P80,Formación cívica y ética,7.12,"División de poderes — Asamblea Legislativa",C
P81,Ciencias I (Biología),8.1,"Plato del buen comer",A
P82,Ciencias I (Biología),8.2,"Fotosíntesis",C
P83,Ciencias I (Biología),8.3,"Conservación de ecosistemas",C
P84,Ciencias I (Biología),8.4,"VPH y cáncer cervicouterino",D
P85,Ciencias I (Biología),8.5,"Niveles tróficos",B
P86,Ciencias I (Biología),8.6,"Respiración celular",A
P87,Ciencias I (Biología),8.7,"Adaptación evolutiva",B
P88,Ciencias I (Biología),8.8,"Nutrición — definición",A
P89,Ciencias I (Biología),8.9,"Meiosis — formación de gametos",A
P90,Ciencias I (Biología),8.10,"Organismos autótrofos",A
P91,Ciencias I (Biología),8.11,"Pérdida de biodiversidad",D
P92,Ciencias I (Biología),8.12,"Lamarck — uso y desuso",A
P93,Español,9.1,"Ficha bibliográfica",B
P94,Español,9.2,"Funciones de la lengua — referencial",C
P95,Español,9.3,"Recursos del texto — cita y paráfrasis",D
P96,Español,9.4,"Tipos de texto — narración",D
P97,Español,9.5,"Cita textual — puntuación",D
P98,Español,9.6,"Tipos de texto — autobiografía",D
P99,Español,9.7,"Adverbios temporales",B
P100,Español,9.8,"Nexo condicional — si",D
P101,Español,9.9,"Coma — elementos en serie",C
P102,Español,9.10,"Sucesión y simultaneidad",C
P103,Español,9.11,"Concordancia sujeto–predicado",B
P104,Español,9.12,"Clasificación de palabras — verbos",A
P105,Geografía,10.1,"Líneas imaginarias de la Tierra",B
P106,Geografía,10.2,"Movimiento de rotación",C
P107,Geografía,10.3,"Zonas sísmicas de México",B
P108,Geografía,10.4,"Transporte de carga terrestre",C
P109,Geografía,10.5,"Sistemas montañosos de México",A
P110,Geografía,10.6,"Croquis",B
P111,Geografía,10.7,"Grupos étnicos del noroeste",C
P112,Geografía,10.8,"Ciudades industriales del norte",A
P113,Geografía,10.9,"Recursos naturales",A
P114,Geografía,10.10,"Puerto del Golfo — huracanes",C
P115,Geografía,10.11,"Globalización",C
P116,Geografía,10.12,"Subdesarrollo en África",B
P117,Matemáticas,11.1,"Notación científica — conversión",C
P118,Matemáticas,11.2,"Volumen de un prisma",D
P119,Matemáticas,11.3,"Área de superficie — caja rectangular",C
P120,Matemáticas,11.4,"Teorema de Pitágoras",A
P121,Matemáticas,11.5,"Planteamiento algebraico",C
P122,Matemáticas,11.6,"Trinomio cuadrado perfecto",A
P123,Matemáticas,11.7,"Planteamiento de ecuación",C
P124,Matemáticas,11.8,"Suma de números con signo",D
P125,Matemáticas,11.9,"Raíz cuadrada",D
P126,Matemáticas,11.10,"Porcentajes",C
P127,Matemáticas,11.11,"Lectura de tabla — IEV",C
P128,Matemáticas,11.12,"Perímetro con valla",C
